,CreateDate,url,NewsTitle,NewsNotes
0,2018-08-16T09:32:41,/news/100011705.html,商务部副部长王受文将应邀率团赴美举行中美经贸问题副部级磋商,中方重申，反对单边主义和贸易保护主义做法，不接受任何单边贸易限制措施。中方欢迎在对等、平等、诚信的基础上，开展对话和沟通。
1,2018-08-16T08:34:44,/news/100011666.html,机器人产业规模持续增长，细分领域长期受益,2018世界机器人大会在北京亦创国际会展中心开幕
2,2018-08-16T08:34:09,/news/100011664.html,政策推动软件业发展，云计算大数据产业景气向好,"下一步工业和信息化部将研究制定新时代推动软件业高质量发展的政策措施，推动云计算、大数据创新发展，进一步扩大和升级信息消费
"
3,2018-08-16T08:33:10,/news/100011663.html,消费扩容态势平稳发展，优质消费类公司受关注,"近期开始出现公司回购意愿、市场价低于公司高管增持价、员工持股价格的迹象，建议关注其中的优质公司
"
4,2018-08-16T08:22:43,/news/100011651.html,白宫称美国不会取消对土耳其钢铝产品加征的关税,白宫发言人桑德斯表示，美国加征关税的举动是“出于国家安全利益考虑”。即便土耳其释放美籍牧师布伦森，美国也不会取消对土耳其钢铝产品加征的进口关税。
5,2018-08-16T07:25:02,/news/100011642.html,市场风险不断释放，机遇与挑战并存,分析人士认为，当前A股经过一段时间调整，风险充分释放，与国际其他市场相比估值并不高。虽然外部环境面临一些不确定性，但这也是促进我国经济结构调整的动力，机遇和挑战并存，A股对境外投资者具有很大的吸引力。
6,2018-08-15T23:16:34,/news/100011618.html,中国结算明确外籍人员可以参与A股交易的申请条件,中国结算8月15日发布通知称，境内工作的外籍人员自9月15日起可以开户参与A股交易。
7,2018-08-15T22:55:37,/news/100011610.html,腾讯：《怪物猎人》后续开发未过审，目前15款游戏审批中,腾讯管理层称，我们相信游戏通过审批只是一个时间问题。我们目前有15款游戏正在审批中，未来也会发布更多游戏。
8,2018-08-15T22:32:42,/news/100011598.html,7000万降至2500万！明星片酬酝酿封顶，声明会否变废纸,一些一线演员的片酬已从六七千万元降到2500万元左右。
9,2018-08-15T22:30:52,/news/100011597.html,“拆弹”地方隐性债务，中央下发了这个重磅文件,中央出台了隐性债务防范化解这一最高级别文件，将加大地方化解隐性债务风险力度，重塑经济活力，让经济运行更有效率，这其实也是一种积极财政政策。
10,2018-08-15T22:30:33,/news/100011596.html,利润增长提速，平安银行上半年业绩触底反弹,平安年报显示，2018年上半年，该行营业收入、净利润同比分别增长5.9%、6.5%，明显高于2017年同期的-1.27%、2.13%。相比上年全年，相关数据也有明显改善。
11,2018-08-15T22:24:01,/news/100011591.html,证监会：进一步放开符合规定的外国人开立A股证券账户的权限,本次修改内容主要涉及以下两个方面，进一步放开符合规定的外国人开立A股证券账户的权限。
12,2018-08-15T22:20:29,/news/100011590.html,腾讯财报看点：游戏增长乏力市值缩水，放缓投资步伐寻求新引擎,又到了港股“股王”腾讯放榜时，市场的悲观情绪早在财报发布前开始蔓延。
13,2018-08-15T22:07:37,/news/100011578.html,韩正：充分发挥粤港澳综合优势 深化内地与香港澳门合作,韩正表示，建设粤港澳大湾区，是习近平总书记亲自谋划、亲自部署、亲自推动的国家战略，是新时代推动形成全面开放新格局的新举措，也是推动“一国两制”事业发展的新实践。
14,2018-08-15T22:05:52,/news/100011577.html,特朗普滥用“232调查”对土耳其提高关税合法吗？,特朗普再次滥用“232调查”，借其对土耳其提高关税，问题是这样的做法合乎美国法律吗？
15,2018-08-15T21:59:24,/news/100011575.html,业绩不佳又逢外部环境动荡，两地科技股纷纷跌下神坛,两地科技股走低，市场人士认为有外部环境因素也有个股业绩不佳带累大盘的原因。
16,2018-08-15T21:52:42,/news/100011570.html,社论：医疗补短板不让任何群体掉队,要求将数量庞大且有实际需要的农民工等群体纳入，无疑是民生补短板的重要一步。
17,2018-08-15T21:45:50,/news/100011561.html,文在寅倡议“东亚铁路共同体”，推进东亚经济合作,韩国总统文在寅8月15日提议构建“东亚铁路共同体”，涵盖韩国、朝鲜、中国、日本、俄罗斯、蒙古、美国等国。
18,2018-08-15T21:37:56,/news/100011554.html,进击的小程序,小程序正以流量优势培育着搅局者.
19,2018-08-15T21:37:43,/news/100011553.html,小程序挑战H5和网页，要向操作系统进军,目前微信的定位仍是社交软件，一旦变成操作系统或平台，整个微信势必有大的调整。
20,2018-08-15T21:26:06,/news/100011544.html,基金20年丨养老概念基金这些年,有业内人士称，这些年，公募基金的养老特性并未得到有效传递，这些基金的购买者与其他基金无异;从资金性质来看，其资金的目的主要还是获取风险收益，而不是应对养老，这也是这些基金未能获得市场广泛认可并得以发展的重要原因。
21,2018-08-15T21:22:17,/news/100011532.html,世界机器人大会开幕，学界商界共话行业的泡沫与发展,智能机器相关技术将在2020-2025年出现的拐点——包括核心技术突破与应用基础突破。
22,2018-08-15T21:19:10,/news/100011527.html,ofo的新烦恼和共享单车的旧难题丨记者观察,以规模换估值的发展模式，早就为共享单车的结局埋下了伏笔，没有资本庇护，共享单车真难题才刚开始。
23,2018-08-15T21:18:51,/news/100011526.html,今日头条们：一边道歉一边做大丨百味杂陈,市场出现这样的有趣情况，一边是接二连三的各种监管下架处罚，一边是迅速膨胀的短视频用户群。
24,2018-08-15T21:18:33,/news/100011525.html,山东地炼整合：风光时卖油给中石油、中石化，现一半几近亏损,在新旧动能切换的背景之下，山东地方性炼油厂正经历着一场大变局。
25,2018-08-15T21:13:29,/news/100011524.html,卫生健康委、国家药监局：对接种过长生疫苗儿童进行补种,卫生健康委、国家药监局：按照知情、自愿、免费原则对接种过长春长生201605014-02批次效价不合格百白破疫苗儿童进行补种。
26,2018-08-15T21:13:18,/news/100011523.html,万科A：为规避外汇市场风险 将开展外汇衍生品套期保值,8月15日，万科A发布公告称，为规避外汇市场风险，公司有必要就外汇风险敞口进行更充分的套期保值。
27,2018-08-15T21:12:42,/news/100011521.html,在岸人民币汇率跌破6.9，双边汇率波动不存在绝对底线,当点位变化导致银行结售汇发生大幅度的逆差或者顺差时，调控政策出现调整的概率会增大。
